,client_id,Variation,mode,result,Time_AVG,total_time
334,7973780,Control,confirm,error,0.0,
335,5119497,Control,step_1,error,0.0,
336,2532775,Test,confirm,error,0.0,
337,3155140,Control,,succeed,39.8,159.0
338,924852,Test,,succeed,118.5,474.0
339,8330343,Test,,succeed,46.0,184.0
340,8607482,Test,start,not succeed,0.0,
341,4827059,Control,confirm,error,0.0,
342,4785260,Test,confirm,error,0.0,
343,4778491,Test,,succeed,63.0,252.0
344,7200160,Test,confirm,error,0.0,
345,304982,Control,start,not succeed,0.0,
346,7177069,Test,,succeed,30.0,120.0
347,9059531,Control,,succeed,81.0,324.0
348,3130496,Test,start,not succeed,0.0,
349,7705990,Test,,succeed,40.5,162.0
350,133101,Control,start,not succeed,0.0,
351,2790745,Test,confirm,error,0.0,
352,2498676,Test,start,not succeed,0.0,
353,8988721,Control,confirm,error,0.0,
354,6224299,Control,,succeed,52.5,210.0
355,3217890,Control,step_1,error,0.0,
356,9403921,Control,confirm,error,0.0,
357,2356366,Control,start,not succeed,0.0,
358,453167,Control,step_1,error,0.0,
359,372523,Control,confirm,error,0.0,
360,2611324,Test,start,not succeed,0.0,
361,8766886,Test,start,not succeed,0.0,
362,3106431,Test,start,not succeed,0.0,
363,5615453,Test,start,not succeed,0.0,
364,7087847,Control,,succeed,66.2,265.0
365,8760103,Test,confirm,error,0.0,
366,5786954,Test,,succeed,58.8,235.0
367,3175977,Test,start,not succeed,0.0,
368,5124813,Test,start,error,0.0,
369,7221996,Test,start,not succeed,0.0,
370,7422759,Control,start,not succeed,0.0,
371,8609229,Test,confirm,error,0.0,
372,9176963,Test,confirm,error,0.0,
373,589292,Test,start,error,0.0,
374,5417457,Control,confirm,error,0.0,
375,863704,Control,start,not succeed,0.0,
376,117276,Test,,succeed,35.8,143.0
377,7441896,Control,,succeed,74.0,296.0
378,7763445,Test,confirm,error,0.0,
379,7359292,Test,start,not succeed,0.0,
380,4101033,Control,,succeed,48.8,195.0
381,1180583,Control,confirm,error,0.0,
382,246429,Test,step_3,error,0.0,
383,395074,Test,confirm,error,0.0,
384,6006542,Test,step_1,error,0.0,
385,1424799,Test,,succeed,291.5,1166.0
386,4251309,Test,,succeed,40.2,161.0
387,5026927,Test,confirm,error,0.0,
388,8512093,Test,confirm,error,0.0,
389,8959766,Test,start,not succeed,0.0,
390,413157,Control,confirm,error,0.0,
391,7448926,Control,,succeed,130.0,520.0
392,806192,Test,confirm,error,0.0,
393,1542033,Test,confirm,error,0.0,
394,3432043,Test,,succeed,40.2,161.0
395,1406408,Test,confirm,error,0.0,
396,4694039,Test,start,not succeed,0.0,
397,2155192,Test,,succeed,27.5,110.0
398,2657900,Control,,succeed,46.5,186.0
399,4514754,Control,confirm,error,0.0,
400,1673947,Control,start,not succeed,0.0,
401,4961256,Test,,succeed,41.2,165.0
402,3413971,Control,start,error,0.0,
403,2323637,Test,start,not succeed,0.0,
404,1209140,Test,,succeed,23.0,92.0
405,85097,Control,start,not succeed,0.0,
406,2262795,Control,,succeed,39.8,159.0
407,4501407,Test,,succeed,19.2,77.0
408,5593703,Test,confirm,error,0.0,
409,1461831,Test,confirm,error,0.0,
410,5867403,Test,,succeed,37.5,150.0
411,8825647,Control,confirm,error,0.0,
412,2314843,Test,confirm,error,0.0,
413,219207,Test,start,not succeed,0.0,
414,3535465,Test,,succeed,309.8,1239.0
415,4878070,Test,,succeed,68.5,274.0
416,7337058,Control,start,not succeed,0.0,
417,3498908,Control,start,error,0.0,
418,77276,Test,,succeed,17.8,71.0
419,4630285,Control,confirm,error,0.0,
420,5667617,Test,,succeed,50.8,203.0
421,8184247,Control,confirm,error,0.0,
422,7787684,Control,,succeed,127.8,511.0
423,4247007,Control,start,not succeed,0.0,
424,7644707,Test,,succeed,70.2,281.0
425,8620721,Control,start,not succeed,0.0,
426,1818956,Control,confirm,error,0.0,
427,2211868,Control,start,not succeed,0.0,
428,5437254,Test,start,not succeed,0.0,
429,3584819,Control,start,error,0.0,
430,6303538,Control,start,not succeed,0.0,
431,897477,Control,confirm,error,0.0,
432,8003648,Control,,succeed,13.8,55.0
433,5456658,Control,,succeed,181.0,724.0
434,3846126,Test,confirm,error,0.0,
435,5673767,Test,confirm,error,0.0,
436,2558586,Test,confirm,error,0.0,
437,4008787,Test,start,not succeed,0.0,
438,6917138,Test,confirm,error,0.0,
439,2333006,Control,,succeed,76.0,304.0
440,9067031,Test,confirm,error,0.0,
441,7761694,Test,confirm,error,0.0,
442,2043345,Test,step_1,error,0.0,
443,4209246,Test,confirm,error,0.0,
444,5238758,Test,,succeed,71.2,285.0
445,1373405,Test,confirm,error,0.0,
446,8277940,Control,start,not succeed,0.0,
447,2735635,Test,confirm,error,0.0,
448,5567038,Test,,succeed,74.2,297.0
449,4239711,Control,confirm,error,0.0,
450,9635244,Control,,succeed,48.5,194.0
451,2798211,Test,confirm,error,0.0,
452,2915635,Test,,succeed,35.0,140.0
453,947738,Test,start,not succeed,0.0,
454,3444839,Test,start,not succeed,0.0,
455,9797297,Control,,succeed,61.8,247.0
456,5176958,Control,confirm,error,0.0,
457,759780,Test,start,not succeed,0.0,
458,4985317,Test,confirm,error,0.0,
459,3910595,Test,start,not succeed,0.0,
460,6688350,Test,confirm,error,0.0,
461,6405208,Test,confirm,error,0.0,
462,2986194,Test,confirm,error,0.0,
463,1651697,Control,confirm,error,0.0,
464,6503101,Test,confirm,error,0.0,
465,9103724,Control,confirm,error,0.0,
466,2561883,Test,confirm,error,0.0,
467,7873226,Control,step_1,error,0.0,
468,9922958,Test,,succeed,115.0,460.0
469,323950,Control,,succeed,37.0,148.0
470,932489,Test,start,not succeed,0.0,
471,6781849,Control,confirm,error,0.0,
472,467861,Test,start,not succeed,0.0,
473,7430424,Control,start,not succeed,0.0,
474,7458004,Control,,succeed,41.2,165.0
475,8753284,Test,start,not succeed,0.0,
476,9052277,Test,start,not succeed,0.0,
477,1428836,Test,confirm,error,0.0,
478,2480352,Test,confirm,error,0.0,
479,5896556,Control,,succeed,50.8,203.0
480,3716868,Test,start,not succeed,0.0,
481,993682,Control,start,not succeed,0.0,
482,4036374,Control,confirm,error,0.0,
483,1330036,Test,confirm,error,0.0,
484,6325731,Test,confirm,error,0.0,
485,8750191,Control,,succeed,35.8,143.0
486,1720728,Test,,succeed,54.5,218.0
487,9004679,Control,confirm,error,0.0,
488,4342700,Control,confirm,error,0.0,
489,8723963,Test,,succeed,36.0,144.0
490,2458751,Test,start,not succeed,0.0,
491,5203477,Test,start,not succeed,0.0,
492,6405391,Test,,succeed,33.8,135.0
493,2374507,Test,,succeed,63.5,254.0
494,3011265,Control,,succeed,79.2,317.0
495,3029315,Test,confirm,error,0.0,
496,9164248,Test,confirm,error,0.0,
497,6450029,Control,,succeed,56.8,227.0
498,7045324,Test,,succeed,24.8,99.0
499,3582059,Test,start,not succeed,0.0,
500,6773537,Test,start,not succeed,0.0,
501,1314809,Control,confirm,error,0.0,
502,2615801,Test,,succeed,43.8,175.0
503,7375067,Control,confirm,error,0.0,
504,7159966,Test,,succeed,43.8,175.0
505,4575187,Test,start,not succeed,0.0,
506,667534,Test,confirm,error,0.0,
507,8604038,Control,start,not succeed,0.0,
508,2617114,Control,confirm,error,0.0,
509,3436975,Control,,succeed,38.8,155.0
510,119599,Test,start,not succeed,0.0,
511,7574730,Test,confirm,error,0.0,
512,3362712,Control,start,not succeed,0.0,
513,42296,Control,start,not succeed,0.0,
514,3695514,Control,,succeed,121.0,484.0
515,1192384,Control,confirm,error,0.0,
516,4590361,Control,start,not succeed,0.0,
517,5543024,Test,confirm,error,0.0,
518,7546085,Test,confirm,error,0.0,
519,3072060,Test,,succeed,24.0,96.0
520,1928906,Control,start,not succeed,0.0,
521,512833,Control,confirm,error,0.0,
522,9089805,Control,confirm,error,0.0,
523,5397802,Test,start,not succeed,0.0,
524,2888193,Control,,succeed,162.5,650.0
525,4778460,Control,step_1,error,0.0,
526,6199584,Test,confirm,error,0.0,
527,7192558,Test,start,not succeed,0.0,
528,9102754,Test,confirm,error,0.0,
529,3576255,Test,confirm,error,0.0,
530,6346672,Control,start,not succeed,0.0,
531,1274510,Test,start,not succeed,0.0,
532,8283444,Control,start,not succeed,0.0,
533,3519145,Test,,succeed,29.8,119.0
534,4390568,Control,step_1,error,0.0,
535,5694063,Test,confirm,error,0.0,
536,3602152,Test,confirm,error,0.0,
537,4065760,Test,confirm,error,0.0,
538,69568,Test,start,not succeed,0.0,
539,2420923,Test,,succeed,40.2,161.0
540,5848027,Control,start,not succeed,0.0,
541,6522942,Test,confirm,error,0.0,
542,1272344,Test,confirm,error,0.0,
543,8957739,Test,,succeed,101.5,406.0
544,8337830,Control,confirm,error,0.0,
545,572617,Test,confirm,error,0.0,
546,7744581,Test,confirm,error,0.0,
547,3045158,Control,start,error,0.0,
548,6747525,Control,start,not succeed,0.0,
549,7258442,Control,,succeed,98.8,395.0
550,7746715,Test,confirm,error,0.0,
551,1486118,Control,,succeed,86.0,344.0
552,3563844,Test,confirm,error,0.0,
553,9493365,Test,confirm,error,0.0,
554,985881,Test,confirm,error,0.0,
555,9792423,Test,start,not succeed,0.0,
556,7037852,Control,step_3,error,0.0,
557,6767637,Control,confirm,error,0.0,
558,8735726,Control,start,not succeed,0.0,
559,5914359,Test,start,not succeed,0.0,
560,1983898,Control,start,not succeed,0.0,
561,8930597,Control,,succeed,33.5,134.0
562,1892008,Control,confirm,error,0.0,
563,9889913,Test,confirm,error,0.0,
564,1468125,Control,confirm,error,0.0,
565,3025507,Control,start,not succeed,0.0,
566,529710,Test,step_1,error,0.0,
567,9842475,Control,start,error,0.0,
568,4343885,Control,,succeed,77.2,309.0
569,4876132,Test,confirm,error,0.0,
570,7829568,Test,confirm,error,0.0,
571,8472274,Test,,succeed,46.5,186.0
572,7475482,Control,start,not succeed,0.0,
573,6371350,Test,confirm,error,0.0,
574,838584,Test,,succeed,62.8,251.0
575,8526665,Control,,succeed,32.0,128.0
576,9865882,Control,start,not succeed,0.0,
577,4717090,Control,start,not succeed,0.0,
578,1289178,Test,confirm,error,0.0,
579,3412472,Control,start,not succeed,0.0,
580,6766816,Test,,succeed,479.5,1918.0
581,6774011,Test,,succeed,33.5,134.0
582,3649806,Test,,succeed,225.5,902.0
583,1034218,Test,confirm,error,0.0,
584,4448805,Control,confirm,error,0.0,
585,3766837,Test,,succeed,122.2,489.0
586,9231655,Control,confirm,error,0.0,
587,6296222,Test,start,error,0.0,
588,2200779,Test,confirm,error,0.0,
589,5027124,Control,start,not succeed,0.0,
590,1432979,Control,,succeed,152.8,611.0
591,3999559,Test,start,not succeed,0.0,
592,3671491,Control,,succeed,125.5,502.0
593,3179230,Test,confirm,error,0.0,
594,9748979,Control,start,not succeed,0.0,
595,3590487,Test,start,not succeed,0.0,
596,8874319,Test,start,not succeed,0.0,
597,8691226,Test,confirm,error,0.0,
598,9513138,Control,step_1,error,0.0,
599,7884558,Test,start,not succeed,0.0,
600,1090478,Test,,succeed,51.8,207.0
601,1304240,Test,start,not succeed,0.0,
602,2681612,Control,,succeed,74.0,296.0
603,851930,Control,,succeed,76.8,307.0
604,1344982,Test,confirm,error,0.0,
605,5171271,Test,start,not succeed,0.0,
606,6602680,Test,start,not succeed,0.0,
607,2447231,Test,confirm,error,0.0,
608,5631396,Test,start,not succeed,0.0,
609,6833110,Control,confirm,error,0.0,
610,4960901,Control,start,not succeed,0.0,
611,2189750,Test,start,not succeed,0.0,
612,9455754,Test,start,not succeed,0.0,
613,209511,Control,confirm,error,0.0,
614,741785,Control,,succeed,50.2,201.0
615,2855888,Control,confirm,error,0.0,
616,9083686,Control,start,not succeed,0.0,
617,2645953,Control,confirm,error,0.0,
618,903457,Control,confirm,error,0.0,
619,3039540,Test,start,not succeed,0.0,
620,4730612,Test,confirm,error,0.0,
621,2763314,Control,start,not succeed,0.0,
622,3453411,Test,confirm,error,0.0,
623,5212054,Control,start,not succeed,0.0,
624,1344819,Control,step_1,error,0.0,
625,8681644,Control,start,not succeed,0.0,
626,8125499,Test,,succeed,70.5,282.0
627,7271587,Test,start,not succeed,0.0,
628,964596,Test,start,not succeed,0.0,
629,2675819,Control,step_1,not succeed,0.0,
630,8852099,Control,confirm,error,0.0,
631,7465287,Test,start,not succeed,0.0,
632,8132181,Test,confirm,error,0.0,
633,5759626,Test,start,not succeed,0.0,
634,2900782,Control,start,not succeed,0.0,
635,2963107,Control,,succeed,119.5,478.0
636,8862044,Control,start,not succeed,0.0,
637,7433366,Control,,succeed,34.2,137.0
638,133487,Control,start,not succeed,0.0,
639,7470213,Test,confirm,error,0.0,
640,6809622,Test,confirm,error,0.0,
641,1616582,Test,confirm,error,0.0,
642,9159465,Test,confirm,error,0.0,
643,494597,Test,,succeed,28.8,115.0
644,4503552,Control,start,not succeed,0.0,
645,3089722,Control,start,not succeed,0.0,
646,9641810,Control,confirm,error,0.0,
647,985046,Test,confirm,error,0.0,
648,192160,Test,start,not succeed,0.0,
649,6233261,Test,confirm,error,0.0,
650,6332820,Control,,succeed,22.8,91.0
651,2623927,Control,start,not succeed,0.0,
652,8839288,Test,start,not succeed,0.0,
653,495241,Test,confirm,error,0.0,
654,5195063,Test,confirm,error,0.0,
655,7878552,Control,confirm,error,0.0,
656,2312741,Test,start,not succeed,0.0,
657,7633966,Control,start,not succeed,0.0,
658,6717348,Test,confirm,error,0.0,
659,3502824,Control,start,not succeed,0.0,
660,614865,Test,,succeed,23.2,93.0
661,7702732,Test,confirm,error,0.0,
662,1711408,Test,,succeed,102.2,409.0
663,1399670,Control,start,not succeed,0.0,
664,157106,Test,,succeed,32.0,128.0
665,1696504,Control,step_1,error,0.0,
666,4243376,Test,start,not succeed,0.0,
667,2606054,Test,,succeed,40.5,162.0
668,4369578,Test,start,not succeed,0.0,
669,7597104,Control,start,not succeed,0.0,
670,9221129,Test,,succeed,39.0,156.0
671,8225520,Test,,succeed,39.5,158.0
